minute	sent	sent_m	rec	rec_m	p_ch	p_ch_m	DIS	DIS_m 	DIO	DIO_m	DAO	DAO_m	bat_25	bat_50	bat_75 	bat_100
0 	 0 	 0 	 0 	 0 	 91 	 91 	 49 	 49 	 93 	 93 	 163 	 163 	 0 	 0 	 0 	 0
1 	 94 	 94 	 65 	 65 	 152 	 61 	 49 	 0 	 274 	 181 	 593 	 430 	 0 	 0 	 0 	 0
2 	 193 	 99 	 142 	 77 	 194 	 42 	 49 	 0 	 395 	 121 	 870 	 277 	 0 	 0 	 0 	 0
3 	 291 	 98 	 220 	 78 	 202 	 8 	 49 	 0 	 446 	 51 	 970 	 100 	 1 	 0 	 0 	 0
4 	 390 	 99 	 297 	 77 	 230 	 28 	 49 	 0 	 547 	 101 	 1143 	 173 	 2 	 0 	 0 	 0
5 	 487 	 97 	 375 	 78 	 234 	 4 	 49 	 0 	 591 	 44 	 1203 	 60 	 3 	 0 	 0 	 0
6 	 587 	 100 	 465 	 90 	 242 	 8 	 49 	 0 	 620 	 29 	 1239 	 36 	 6 	 0 	 0 	 0
7 	 686 	 99 	 554 	 89 	 254 	 12 	 49 	 0 	 667 	 47 	 1335 	 96 	 11 	 1 	 0 	 0
8 	 784 	 98 	 633 	 79 	 271 	 17 	 49 	 0 	 735 	 68 	 1443 	 108 	 18 	 1 	 0 	 0
9 	 882 	 98 	 713 	 80 	 285 	 14 	 49 	 0 	 787 	 52 	 1536 	 93 	 21 	 2 	 0 	 0
10 	 980 	 98 	 795 	 82 	 289 	 4 	 49 	 0 	 812 	 25 	 1562 	 26 	 29 	 2 	 0 	 0
11 	 1078 	 98 	 877 	 82 	 291 	 2 	 49 	 0 	 826 	 14 	 1575 	 13 	 34 	 1 	 1 	 0
12 	 1174 	 96 	 954 	 77 	 295 	 4 	 49 	 0 	 849 	 23 	 1601 	 26 	 34 	 3 	 1 	 0
13 	 1273 	 99 	 1039 	 85 	 299 	 4 	 49 	 0 	 865 	 16 	 1625 	 24 	 37 	 3 	 2 	 0
14 	 1371 	 98 	 1113 	 74 	 305 	 6 	 49 	 0 	 902 	 37 	 1688 	 63 	 39 	 3 	 2 	 0
15 	 1468 	 97 	 1192 	 79 	 353 	 48 	 49 	 0 	 974 	 72 	 1922 	 234 	 40 	 5 	 1 	 1
16 	 1563 	 95 	 1277 	 85 	 381 	 28 	 49 	 0 	 1072 	 98 	 2259 	 337 	 34 	 13 	 1 	 1
